Partlist

Exported from Schematic v15.sch at 10/10/2025 2:30 PM

EAGLE Version 9.7.0 Copyright (c) 1988-2025 Autodesk, Inc.

Assembly variant: 

Part     Value                                   Device                                  Package                  Library                     Sheet

BOOT     BUTTON_EVQ-P7A01P                       BUTTON_EVQ-P7A01P                       SW_EVQ-P7A01P            Library                     1
C1       22uf                                    C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C2       0.1uF                                   C-US_CHIP-0402(1005-METRIC)             CAPC1005X60              Capacitor                   1
C3       22uf                                    C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C4       22uf                                    C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C5       0.1uF                                   C-US_CHIP-0402(1005-METRIC)             CAPC1005X60              Capacitor                   1
C6       1uF                                     C_CHIP-0402(1005-METRIC)                CAPC1005X60              Tutorial - Fusion 360       1
C7       0.1uF                                   C-US_CHIP-0402(1005-METRIC)             CAPC1005X60              Capacitor                   1
C8       22uf                                    C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C11      0.22uf                                  C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C12      1uf                                     C-US_CHIP-0603(1608-METRIC)             CAPC1608X85              Capacitor                   1
C13      22uf                                    C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C14      22uf                                    C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C15      22uf                                    C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C16      22uf                                    C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C17      22uf                                    C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C18      0.1uf                                   C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C20      1uF                                     C_CHIP-0402(1005-METRIC)                CAPC1005X60              Tutorial - Fusion 360       1
C21      22nF                                    C-US_CHIP-0402(1005-METRIC)             CAPC1005X60              Capacitor                   1
C22      10pF                                    C-US_CHIP-0805(2012-METRIC)             CAPC2012X110             Capacitor                   1
C23      1nF                                     C-US_CHIP-0402(1005-METRIC)             CAPC1005X60              Capacitor                   1
D1       LED_GREEN                               CHIP-FLAT-B_0805                        LEDC2012X110N_FLAT-B     LED                         1
D2       LED_BLUE                                CHIP-FLAT-B_0805                        LEDC2012X110N_FLAT-B     LED                         1
D3       DIODE                                   DIODEDO-214AC(SMA)                      DIOM5226X290N            Diode                       1
D4       DIODE                                   DIODEDO-214AC(SMA)                      DIOM5226X290N            Diode                       1
D5       DIODE                                   DIODEDO-214AB(SMC)                      DIOM7959X625N            Diode                       1
FL1      USB2_COMMON_MODE_CHOKE_DLW21HN900SQ2L   USB2_COMMON_MODE_CHOKE_DLW21HN900SQ2L   FIL_DLW21HN900SQ2L       Library                     1
J1       PJ-002A                                 PJ-002A                                 CUI_PJ-002A              PJ-002A                     1
J2        691137710002                           691137710002                            691137710002             Library                     1
J3        691137710002                           691137710002                            691137710002             Library                     1
J4       USB4105-GF-A                            USB4105-GF-A                            GCT_USB4105-GF-A         Library                     1
J5        691137710002                           691137710002                            691137710002             Library                     1
J6        691137710002                           691137710002                            691137710002             Library                     1
L1       IHLP4040DZER6R8M01IND_IHLP-4040DZ_VIS-M IHLP4040DZER6R8M01IND_IHLP-4040DZ_VIS-M IND_IHLP-4040DZ_VIS-M    LibraryA                    1
L2       2.2uH                                   INDUCTOR_MOLDED(5450-METRIC)            INDM5450X580             Tinkercad                   1
