"Part";"Value";"Device";"Footprint Name";"Detailed Description";"CATEGORY";"MANUFACTURER";"MPN";"OPERATING_TEMP";"PART_STATUS";"RATING";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"STANDARD";"SUB-CATEGORY";"THERMALLOSS";"TOLERANCE";"TYPE";"VOLTAGE_RATING";
"0.1?";"CRA2512-FZ-R100ELF";"CRA2512-FZ-R100ELF";"RESC6432X90N";"Smd Current Sense Resistors, Cr Series, 0.1 Ohm, 3 W, - 1%, 2512 [6432 Metric]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0.1?1";"CRA2512-FZ-R100ELF";"CRA2512-FZ-R100ELF";"RESC6432X90N";"Smd Current Sense Resistors, Cr Series, 0.1 Ohm, 3 W, - 1%, 2512 [6432 Metric]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0.1?2";"CRA2512-FZ-R100ELF";"CRA2512-FZ-R100ELF";"RESC6432X90N";"Smd Current Sense Resistors, Cr Series, 0.1 Ohm, 3 W, - 1%, 2512 [6432 Metric]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0.1?3";"CRA2512-FZ-R100ELF";"CRA2512-FZ-R100ELF";"RESC6432X90N";"Smd Current Sense Resistors, Cr Series, 0.1 Ohm, 3 W, - 1%, 2512 [6432 Metric]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0.1?4";"CRA2512-FZ-R100ELF";"CRA2512-FZ-R100ELF";"RESC6432X90N";"Smd Current Sense Resistors, Cr Series, 0.1 Ohm, 3 W, - 1%, 2512 [6432 Metric]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0.1?5";"CRA2512-FZ-R100ELF";"CRA2512-FZ-R100ELF";"RESC6432X90N";"Smd Current Sense Resistors, Cr Series, 0.1 Ohm, 3 W, - 1%, 2512 [6432 Metric]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"47UF";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5(DXL)";"WCAP-ASLI Aluminium Electrolytic Capacitors";"";"";"";"";"";"";"";"";"B";"";"";"";"";"";"";
"47UF1";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5(DXL)";"WCAP-ASLI Aluminium Electrolytic Capacitors";"";"";"";"";"";"";"";"";"B";"";"";"";"";"";"";
"47UF2";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5(DXL)";"WCAP-ASLI Aluminium Electrolytic Capacitors";"";"";"";"";"";"";"";"";"B";"";"";"";"";"";"";
"47UF3";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5(DXL)";"WCAP-ASLI Aluminium Electrolytic Capacitors";"";"";"";"";"";"";"";"";"B";"";"";"";"";"";"";
"47UF4";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5(DXL)";"WCAP-ASLI Aluminium Electrolytic Capacitors";"";"";"";"";"";"";"";"";"B";"";"";"";"";"";"";
"47UF5";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5";"WCAP-ASLI_6.3X5.5(DXL)";"WCAP-ASLI Aluminium Electrolytic Capacitors";"";"";"";"";"";"";"";"";"B";"";"";"";"";"";"";
"C1";"0.1uF";"C_CHIP-0402(1005-METRIC)";"CAPC1005X60";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"0.1uF";"C_CHIP-0402(1005-METRIC)";"CAPC1005X60";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"C_CHIP-0402(1005-METRIC)";"CAPC1005X60";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"0.1uF";"C_CHIP-0402(1005-METRIC)";"CAPC1005X60";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"0.1uF";"C_CHIP-0402(1005-METRIC)";"CAPC1005X60";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"0.1uF";"C_CHIP-0402(1005-METRIC)";"CAPC1005X60";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"C_CHIP-0402(1005-METRIC)";"CAPC1005X60";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"0.1uF";"C_CHIP-0402(1005-METRIC)";"CAPC1005X60";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"0.1uF";"C_CHIP-0402(1005-METRIC)";"CAPC1005X60";"Capacitor - Generic";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
